customer_id,customer_name,total_orders,customer_tier
1,"Vivaan Sharma",3,BRONZE
2,"Vihaan Patel",2,BRONZE
3,"Krishna Verma",5,SILVER
4,"Aarav Sharma",4,BRONZE
5,"Vihaan Das",6,SILVER
6,"Krishna Reddy",2,BRONZE
7,"Vihaan Nair",7,SILVER
8,"Aarav Patel",3,BRONZE
9,"Arjun Patel",1,BRONZE
10,"Reyansh Verma",4,BRONZE
11,"Vivaan Mehta",5,SILVER
12,"Arjun Sharma",3,BRONZE
13,"Vivaan Singh",1,BRONZE
14,"Arjun Bhat",3,BRONZE
15,"Vihaan Verma",1,BRONZE
16,"Vihaan Gupta",4,BRONZE
17,"Vihaan Verma",2,BRONZE
18,"Sai Mehta",2,BRONZE
19,"Reyansh Reddy",2,BRONZE
20,"Vivaan Bhat",5,SILVER
21,"Vihaan Patel",6,SILVER
22,"Arjun Das",4,BRONZE
23,"Reyansh Sharma",2,BRONZE
24,"Aarav Mehta",4,BRONZE
25,"Vivaan Reddy",2,BRONZE
26,"Reyansh Reddy",6,SILVER
27,"Sai Patel",2,BRONZE
28,"Vihaan Das",9,SILVER
29,"Ishaan Singh",2,BRONZE
30,"Reyansh Reddy",3,BRONZE
31,"Sai Verma",3,BRONZE
32,"Vivaan Patel",1,BRONZE
33,"Muhammad Bhat",1,BRONZE
34,"Muhammad Bhat",3,BRONZE
35,"Arjun Das",5,SILVER
37,"Reyansh Verma",3,BRONZE
38,"Aditya Nair",1,BRONZE
39,"Arjun Das",2,BRONZE
40,"Vivaan Gupta",1,BRONZE
41,"Vihaan Patel",3,BRONZE
42,"Aditya Das",1,BRONZE
43,"Ishaan Mehta",3,BRONZE
44,"Vivaan Mehta",2,BRONZE
45,"Aarav Reddy",2,BRONZE
46,"Vivaan Nair",3,BRONZE
47,"Krishna Patel",5,SILVER
49,"Krishna Bhat",6,SILVER
50,"Krishna Reddy",5,SILVER
51,"Reyansh Nair",3,BRONZE
52,"Vivaan Reddy",3,BRONZE
53,"Reyansh Sharma",4,BRONZE
