customer_id,customer_name
36,"Vivaan Das"
48,"Sai Das"
63,"Muhammad Mehta"
76,"Aarav Bhat"
91,"Krishna Gupta"
100,"Sai Das"
140,"Vivaan Nair"
175,"Vihaan Sharma"
190,"Krishna Gupta"
218,"Sai Nair"
224,"Ishaan Bhat"
226,"Arjun Bhat"
231,"Muhammad Nair"
233,"Arjun Nair"
261,"Krishna Sharma"
313,"Reyansh Das"
347,"Vivaan Verma"
354,"Ishaan Patel"
381,"Aarav Verma"
404,"Reyansh Verma"
405,"Vivaan Reddy"
420,"Sai Sharma"
440,"Reyansh Gupta"
446,"Aditya Patel"
447,"Ishaan Patel"
465,"Arjun Nair"
466,"Sai Nair"
467,"Vivaan Sharma"
470,"Arjun Verma"
